folder_name,dataset,model,optimizer,seed,learning_rate,epochs,batch_size,momentum,weight_decay,spsa_a,spsa_c,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_acc,best_val_acc,final_train_acc,training_time
cifar10_SimpleCNN_SGD_1337_1750300496,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.6508,0.6464906411901538,0.6455268472498257,0.6507999999999999,0.6464906411901538,0.6455268472498257,0.6508,1.0532662820339205,1.0325392560836988,64.0,64.0,62.7525,424.3932285308838
cifar10_SimpleCNN_SGD_1337_1750302071,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.8159,0.8153804058986933,0.8166799102203119,0.8158999999999998,0.8153804058986932,0.816679910220312,0.8159,0.3395382072746754,0.6405443798619718,79.3,80.01,87.935,425.7129175662994
cifar10_SimpleCNN_SGD_1337_1752537514,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.7727,0.7732301444453047,0.7786265270309032,0.7727,0.7732301444453047,0.7786265270309031,0.7727,0.0777633566786526,1.0837747232792097,77.27,78.15,97.356,866.9663391113281
cifar10_SimpleCNN_SGD_2025_1750294415,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.7421,0.7427852681156051,0.7514855303612764,0.7421,0.7427852681156052,0.7514855303612764,0.7421,0.8012424590706825,0.8743611305666427,73.06,75.67,74.4925,421.68528938293457
cifar10_SimpleCNN_SGD_2025_1750296101,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.1,0.0181818181818181,0.01,0.1,0.0181818181818181,0.01,0.1,,,10.0,22.72,10.0,425.8918116092682
cifar10_SimpleCNN_SGD_2025_1750297793,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.8108,0.8106469864455553,0.8154713865088338,0.8107999999999999,0.8106469864455553,0.8154713865088337,0.8108,0.3437795677602291,0.6085835401052103,80.51,80.51,87.7825,422.95403361320496
cifar10_SimpleCNN_SGD_2025_1750299488,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.7529,0.7535691040940298,0.7571091362729494,0.7529,0.7535691040940299,0.7571091362729494,0.7529,0.7844858824253083,0.8536560751569157,72.79,75.57,74.835,424.9962320327759
cifar10_SimpleCNN_SGD_2025_1750301059,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.6411,0.6363257211646907,0.6412680447099076,0.6411,0.6363257211646908,0.6412680447099076,0.6411,1.0432236966133115,1.0318491870222,64.27,64.27,63.435,421.9128596782684
cifar10_SimpleCNN_SGD_2025_1750302635,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.8134,0.8116597571103034,0.8131376962311645,0.8134,0.8116597571103035,0.8131376962311644,0.8134,0.3432129574537277,0.6117974214565259,79.95,80.56,87.795,424.5022873878479
cifar10_SimpleCNN_SGD_2025_1752538415,cifar10,SimpleCNN,SGD,2025,0.001,50,32,0.9,,,,0.7821,0.7823035043790175,0.7831742890959471,0.7821,0.7823035043790175,0.783174289095947,0.7821,0.082693576181137,1.0056836937372675,78.21,78.48,97.15,849.5607962608337
cifar10_SimpleCNN_SGD_42_1750293295,cifar10,SimpleCNN,SGD,42,0.001,50,32,0.9,,,,0.7497,0.7503187260984012,0.7543061127106905,0.7496999999999999,0.7503187260984013,0.7543061127106905,0.7497,0.7995651628613472,0.893968365253351,73.02,75.06,74.1925,416.600138425827
cifar10_SimpleCNN_SGD_42_1750294976,cifar10,SimpleCNN,SGD,42,0.001,50,32,0.9,,,,0.1,0.0181818181818181,0.01,0.1,0.0181818181818181,0.01,0.1,2.310018957710266,2.313256678108971,9.98,10.35,9.9,422.1568193435669
cifar10_SimpleCNN_SGD_42_1750296665,cifar10,SimpleCNN,SGD,42,0.001,50,32,0.9,,,,0.811,0.8101492103149776,0.8103795353497615,0.8109999999999999,0.8101492103149777,0.8103795353497615,0.811,0.352609605884552,0.6154041475952624,79.87,80.32,87.5525,423.4535038471222
cifar10_SimpleCNN_SGD_42_1750298357,cifar10,SimpleCNN,SGD,42,0.001,50,32,0.9,,,,0.7497,0.7500484406794685,0.7551503395123731,0.7496999999999999,0.7500484406794686,0.7551503395123731,0.7497,0.7921851922154427,0.8703970803429906,73.14,75.95,74.345,424.0611889362335
cifar10_SimpleCNN_SGD_42_1750299933,cifar10,SimpleCNN,SGD,42,0.001,50,32,0.9,,,,0.6473,0.6419464556351575,0.6428704731799807,0.6473000000000001,0.6419464556351575,0.6428704731799806,0.6473,1.042831352853775,1.007340590222575,64.63,64.63,63.1525,424.1576833724976
